"type","path","name","code"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Norcross\30071\","30071","DEM|ZIPCODE:30071"
"assertion","\i2b2\Demographics\Zip codes\Virginia\Saxe\23967\","23967","DEM|ZIPCODE:23967"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Agra\67621\","67621","DEM|ZIPCODE:67621"
"assertion","\i2b2\Demographics\Zip codes\Georgia\Atlanta\30356\","30356","DEM|ZIPCODE:30356"
"assertion","\i2b2\Demographics\Zip codes\Illinois\Springfield\62769\","62769","DEM|ZIPCODE:62769"
"assertion","\i2b2\Demographics\Zip codes\Indiana\Ellettsville\47429\","47429","DEM|ZIPCODE:47429"
"assertion","\i2b2\Demographics\Zip codes\Massachusetts\Bolton\01740\","01740","DEM|ZIPCODE:01740"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Fort Riley\66442\","66442","DEM|ZIPCODE:66442"
"assertion","\i2b2\Demographics\Zip codes\Iowa\Cedar Rapids\52408\","52408","DEM|ZIPCODE:52408"
"assertion","\i2b2\Demographics\Zip codes\Arkansas\Romance\72136\","72136","DEM|ZIPCODE:72136"
"assertion","\i2b2\Demographics\Zip codes\Kansas\Lancaster\66041\","66041","DEM|ZIPCODE:66041"
"assertion","\i2b2\Demographics\Zip codes\Armed Forces Europe\Apo\09326\","09326","DEM|ZIPCODE:09326"
"assertion","\i2b2\Demographics\Zip codes\Florida\Elfers\34680\","34680","DEM|ZIPCODE:34680"
"assertion","\i2b2\Demographics\Zip codes\Florida\Panacea\32346\","32346","DEM|ZIPCODE:32346"
"assertion","\i2b2\Demographics\Zip codes\Michigan\Copper City\49917\","49917","DEM|ZIPCODE:49917"
"assertion","\i2b2\Demographics\Zip codes\Alabama\Childersburg\35044\","35044","DEM|ZIPCODE:35044"
"assertion","\i2b2\Demographics\Zip codes\Connecticut\Stamford\06904\","06904","DEM|ZIPCODE:06904"
"assertion","\i2b2\Demographics\Zip codes\Hawaii\Honolulu\96825\","96825","DEM|ZIPCODE:96825"
"assertion","\i2b2\Demographics\Zip codes\Connecticut\Columbia\06237\","06237","DEM|ZIPCODE:06237"
