type,path,code
float,/Diabetes/Diabetes_ehr1/BMI,BMI
integer,/Diabetes/Diabetes_ehr2/Glucose,Glucose
integer,/Diabetes/Diabetes_ehr1/BloodPressure,BloodPressure
integer,/Diabetes/Diabetes_ehr2/Insulin,Insulin
float,/Diabetes/Diabetes_ehr1/DiabetesPedigreeFunction,DiabetesPedigreeFunction
integer,/Diabetes/Diabetes_ehr2/Age,Age
assertion,/Diabetes/label/positive,positive
assertion,/Diabetes/label/negative,negative
assertion,/Diabetes/label/target,target
integer,/Diabetes/Diabetes_ehr1/Pregnancies,Pregnancies
integer,/Diabetes/Diabetes_ehr2/Insulin,Insulin
integer,/Diabetes/Diabetes_ehr1/SkinThickness,SkinThickness
